iteration,distance,route
1,234861.45,"[0, 1, 11, 8, 5, 7, 12, 13, 2, 3, 4, 9, 6, 10, 14, 0]"
2,234861.45,"[0, 1, 11, 8, 5, 7, 12, 13, 2, 3, 4, 9, 6, 10, 14, 0]"
3,234861.45,"[0, 1, 11, 8, 5, 7, 12, 13, 2, 3, 4, 9, 6, 10, 14, 0]"
4,234861.45,"[0, 1, 11, 8, 5, 7, 12, 13, 2, 3, 4, 9, 6, 10, 14, 0]"
5,234861.45,"[0, 1, 11, 8, 5, 7, 12, 13, 2, 3, 4, 9, 6, 10, 14, 0]"
6,234861.45,"[0, 1, 11, 8, 5, 7, 12, 13, 2, 3, 4, 9, 6, 10, 14, 0]"
7,234861.45,"[0, 1, 11, 8, 5, 7, 12, 13, 2, 3, 4, 9, 6, 10, 14, 0]"
8,234861.45,"[0, 1, 11, 8, 5, 7, 12, 13, 2, 3, 4, 9, 6, 10, 14, 0]"
9,234861.45,"[0, 1, 11, 8, 5, 7, 12, 13, 2, 3, 4, 9, 6, 10, 14, 0]"
10,229512.05,"[0, 1, 8, 11, 7, 5, 10, 14, 6, 9, 4, 3, 2, 13, 12, 0]"
11,229512.05,"[0, 1, 8, 11, 7, 5, 10, 14, 6, 9, 4, 3, 2, 13, 12, 0]"
12,229512.05,"[0, 1, 8, 11, 7, 5, 10, 14, 6, 9, 4, 3, 2, 13, 12, 0]"
13,229512.05,"[0, 1, 8, 11, 7, 5, 10, 14, 6, 9, 4, 3, 2, 13, 12, 0]"
14,229512.05,"[0, 1, 8, 11, 7, 5, 10, 14, 6, 9, 4, 3, 2, 13, 12, 0]"
15,229512.05,"[0, 1, 8, 11, 7, 5, 10, 14, 6, 9, 4, 3, 2, 13, 12, 0]"
16,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
17,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
18,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
19,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
20,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
21,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
22,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
23,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
24,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
25,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
26,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
27,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
28,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
29,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
30,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
31,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
32,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
33,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
34,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
35,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
36,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
37,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
38,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
39,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
40,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
41,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
42,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
43,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
44,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
45,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
46,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
47,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
48,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
49,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
50,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
51,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
52,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
53,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
54,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
55,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
