iteration,distance,route
56,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
57,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
58,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
59,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
60,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
61,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
62,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
63,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
64,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
65,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
66,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
67,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
68,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
69,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
70,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
71,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
72,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
73,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
74,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
75,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
76,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
77,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
78,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
79,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
80,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
81,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
82,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
83,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
84,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
85,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
86,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
87,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
88,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
89,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
90,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
91,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
92,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
93,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
94,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
95,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
96,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
97,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
98,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
99,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
100,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
101,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
102,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
103,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
104,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
105,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
106,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
107,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
108,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
109,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
110,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
111,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
112,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
113,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
114,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
115,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
116,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
117,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
118,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
119,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
120,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
121,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
122,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
123,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
124,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
125,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
126,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
127,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
128,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
129,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
130,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
131,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
132,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
133,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
134,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
135,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
136,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
137,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
138,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
139,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
140,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
141,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
142,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
143,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
144,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
145,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
146,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
147,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
148,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
149,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
150,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
151,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
152,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
153,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
154,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
155,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
156,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
157,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
158,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
159,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
160,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
161,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
162,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
163,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
164,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
165,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
166,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
167,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
168,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
169,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
170,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
171,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
172,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
173,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
174,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
175,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
176,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
177,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
178,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
179,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
180,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
181,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
182,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
183,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
184,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
185,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
186,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
187,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
188,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
189,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
190,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
191,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
192,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
193,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
194,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
195,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
196,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
197,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
198,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
199,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
200,226552.43,"[0, 1, 11, 8, 12, 13, 2, 3, 4, 9, 6, 10, 14, 5, 7, 0]"
